question_id,pair_id,language,category,question_text,target_brand
usage_en_03,usage_03,en,cas_usage,"What tool can I use to optimize blog posts before publishing?",
usage_fr_04,usage_04,fr,cas_usage,"Quel outil pour faire de la recherche de mots-clés pour une petite entreprise ?",
usage_en_04,usage_04,en,cas_usage,"What tool can I use for keyword research for a small business?",
usage_fr_05,usage_05,fr,cas_usage,"Quel outil permet de suivre sa visibilité dans les réponses des IA génératives ?",
usage_en_05,usage_05,en,cas_usage,"What tool tracks visibility in AI-generated search answers?",
open_fr_01,open_01,fr,question_ouverte,"Quels sont les meilleurs outils SEO en 2026 ?",
open_en_01,open_01,en,question_ouverte,"What are the best SEO tools in 2026?",
open_fr_02,open_02,fr,question_ouverte,"Quels sont les meilleurs outils SEO gratuits ?",
open_en_02,open_02,en,question_ouverte,"What are the best free SEO tools?",
open_fr_03,open_03,fr,question_ouverte,"Quelle est la meilleure plateforme SEO tout-en-un ?",
open_en_03,open_03,en,question_ouverte,"What is the best all-in-one SEO platform?",
open_fr_04,open_04,fr,question_ouverte,"Quel est le meilleur outil SEO pour une agence ?",
open_en_04,open_04,en,question_ouverte,"What is the best SEO tool for an agency?",
open_fr_05,open_05,fr,question_ouverte,"Quel outil permet le mieux de suivre l'apparition dans les AI Overviews de Google ?",
open_en_05,open_05,en,question_ouverte,"What tool best tracks appearance in Google AI Overviews?",
